Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,timestamp,source_ip
80,6,2/16/2018 1:47,37253,2,0,0,0,0,0,0,0,0,0,0,0,0,53.68695139,37253,0,37253,37253,37253,37253,0,37253,37253,0,0,0,0,0,0,0,0,0,64,0,53.68695139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
50556,6,2/16/2018 1:46,2557227,5,3,935,327,935,0,187,418.1447118,327,0,109,188.793538,493.5033143,3.12838868,365318.1429,935139.3028,2485608,4,2557227,639306.75,1231070.743,2485615,25,53314,26657,33359.88372,50246,3068,0,0,0,0,168,104,1.955242925,1.173145755,0,935,140.2222222,317.0555069,100524.1944,0,0,0,0,1,0,0,0,0,157.75,187,109,0,0,0,0,0,0,5,935,3,327,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
50334,6,2/16/2018 1:47,4212268,5,3,935,346,935,0,187,418.1447118,346,0,115.3333333,199.7631931,304.1117042,1.89921439,601752.5714,1570201.343,4162534,5,4212268,1053067,2073017.117,4162540,32,28470,14235,19786.26195,28226,244,0,0,0,0,168,104,1.187008994,0.712205396,0,935,142.3333333,318.5145209,101451.5,0,0,0,0,1,0,0,0,0,160.125,187,115.3333333,0,0,0,0,0,0,5,935,3,346,219,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
58664,6,2/16/2018 1:47,4451755,5,4,935,750,935,0,187,418.1447118,375,0,187.5,216.5063509,378.5024108,2.021674598,556469.375,1467285.556,4183050,6,4451755,1112938.75,2049587.982,4183056,88,241379,80459.66667,121827.1724,220944,3895,0,0,0,0,168,136,1.123152554,0.898522044,0,935,168.5,311.1899206,96839.16667,0,0,0,0,1,0,0,0,0,187.2222222,187,187.5,0,0,0,0,0,0,5,935,4,750,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
35084,6,2/16/2018 1:45,5220564,5,3,935,372,935,0,187,418.1447118,372,0,124,214.7743001,250.3560918,1.5324014799999999,745794.8571,1918069.281,5094503,7,5220564,1305141,2526787.15,5094510,58,10261,5130.5,632.8605692,5578,4683,0,0,0,0,168,104,0.957750925,0.5746505550000001,0,935,145.2222222,320.7030471,102850.4444,0,0,0,0,1,0,0,0,0,163.375,187,124,0,0,0,0,0,0,5,935,3,372,219,211,1,32,0,0,0,0,5094503,0,5094503,5094503,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:45,2387,2,0,0,0,0,0,0,0,0,0,0,0,0,837.8718056,2387,0,2387,2387,2387,2387,0,2387,2387,0,0,0,0,0,0,0,0,0,64,0,837.8718056,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
80,6,2/16/2018 1:46,125500,3,0,0,0,0,0,0,0,0,0,0,0,0,23.90438247,62750,27968.90162,82527,42973,125500,62750,27968.90162,82527,42973,0,0,0,0,0,0,0,0,0,96,0,23.90438247,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
80,6,2/16/2018 1:45,39326,3,4,355,935,355,0,118.3333333,204.9593456,935,0,233.75,467.5,32802.72593,177.999288,6554.333333,12158.21424,30365,5,8935,4467.5,5909.29137,8646,289,39319,13106.33333,15596.54184,30365,21,0,0,0,0,104,136,76.28540914,101.7138789,0,935,161.25,336.4175764,113176.7857,0,0,0,1,0,0,0,0,1,184.2857143,118.3333333,233.75,0,0,0,0,0,0,3,355,4,935,26883,219,1,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
40852,6,2/16/2018 1:47,4241609,5,3,935,324,935,0,187,418.1447118,324,0,108,187.0614872,296.8213242,1.886076722,605944.1429,1558137.656,4139064,9,4241609,1060402.25,2052596.55,4139084,47,50180,25090,33013.4014,48434,1746,0,0,0,0,168,104,1.178797951,0.707278771,0,935,139.8888889,316.836095,100385.1111,0,0,0,0,1,0,0,0,0,157.375,187,108,0,0,0,0,0,0,5,935,3,324,219,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:46,51273,2,0,0,0,0,0,0,0,0,0,0,0,0,39.00688472,51273,0,51273,51273,51273,51273,0,51273,51273,0,0,0,0,0,0,0,0,0,64,0,39.00688472,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
80,6,2/16/2018 1:45,9069,2,0,0,0,0,0,0,0,0,0,0,0,0,220.5314809,9069,0,9069,9069,9069,9069,0,9069,9069,0,0,0,0,0,0,0,0,0,64,0,220.5314809,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
80,6,2/16/2018 1:47,2667,2,0,0,0,0,0,0,0,0,0,0,0,0,749.9062617,2667,0,2667,2667,2667,2667,0,2667,2667,0,0,0,0,0,0,0,0,0,64,0,749.9062617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
80,6,2/16/2018 1:48,8953,2,0,0,0,0,0,0,0,0,0,0,0,0,223.3888082,8953,0,8953,8953,8953,8953,0,8953,8953,0,0,0,0,0,0,0,0,0,64,0,223.3888082,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
37574,6,2/16/2018 1:47,4070996,5,3,935,355,935,0,187,418.1447118,355,0,118.3333333,204.9593456,316.8757719,1.965121066,581570.8571,1518942.306,4026112,4,4070996,1017749,2005620.777,4026116,41,12909,6454.5,2527.906743,8242,4667,0,0,0,0,168,104,1.228200666,0.7369203999999999,0,935,143.3333333,319.2471613,101918.75,0,0,0,0,1,0,0,0,0,161.25,187,118.3333333,0,0,0,0,0,0,5,935,3,355,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:47,766,2,0,0,0,0,0,0,0,0,0,0,0,0,2610.966057,766,0,766,766,766,766,0,766,766,0,0,0,0,0,0,0,0,0,64,0,2610.966057,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
47630,6,2/16/2018 1:47,4185102,5,3,935,282,935,0,187,418.1447118,282,0,94,162.8127759,290.7933905,1.911542419,597871.7143,1561876.606,4139826,6,4185102,1046275.5,2062404.713,4139832,31,28821,14410.5,7832.621815,19949,8872,0,0,0,0,168,104,1.194714012,0.7168284070000001,0,935,135.2222222,314.0827032,98647.94444,0,0,0,0,1,0,0,0,0,152.125,187,94,0,0,0,0,0,0,5,935,3,282,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
21,6,2/16/2018 10:46,3,1,1,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest,53:48.2,87.236.232.200
80,6,2/16/2018 1:46,2872,2,0,0,0,0,0,0,0,0,0,0,0,0,696.3788301,2872,0,2872,2872,2872,2872,0,2872,2872,0,0,0,0,0,0,0,0,0,64,0,696.3788301,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
58866,6,2/16/2018 1:46,4331927,5,3,935,371,935,0,187,418.1447118,371,0,123.6666667,214.1969499,301.482458,1.8467531890000002,618846.7143,1618715.731,4289674,4,4331927,1082981.75,2137831.661,4289688,28,15801,7900.5,10799.64187,15537,264,0,0,0,0,168,104,1.154220743,0.6925324460000001,0,935,145.1111111,320.6148174,102793.8611,0,0,0,0,1,0,0,0,0,163.25,187,123.6666667,0,0,0,0,0,0,5,935,3,371,219,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
21,6,2/16/2018 10:43,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest,53:48.2,87.236.232.200
80,6,2/16/2018 1:47,45274,2,0,0,0,0,0,0,0,0,0,0,0,0,44.17546495,45274,0,45274,45274,45274,45274,0,45274,45274,0,0,0,0,0,0,0,0,0,64,0,44.17546495,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
57170,6,2/16/2018 1:45,4895730,5,3,935,359,935,0,187,418.1447118,359,0,119.6666667,207.2687466,264.3119616,1.634077043,699390,1817868.896,4821827,5,4895730,1223932.5,2398674.129,4821832,50,46012,23006,7727.262905,28470,17542,0,0,0,0,168,104,1.021298152,0.612778891,0,935,143.7777778,319.5812799,102132.1944,0,0,0,0,1,0,0,0,0,161.75,187,119.6666667,0,0,0,0,0,0,5,935,3,359,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:45,17566,3,4,311,935,311,0,103.6666667,179.5559337,935,0,233.75,467.5,70932.48321,398.4970967,2927.666667,5528.26572,13878,7,3661,1830.5,2222.436613,3402,259,17558,5852.666667,7184.48894,13878,20,0,0,0,0,104,136,170.78447,227.7126267,0,935,155.75,333.1412184,110983.0714,0,0,0,1,0,0,0,0,1,178,103.6666667,233.75,0,0,0,0,0,0,3,311,4,935,26883,219,1,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
80,6,2/16/2018 1:47,2631,2,0,0,0,0,0,0,0,0,0,0,0,0,760.1672368,2631,0,2631,2631,2631,2631,0,2631,2631,0,0,0,0,0,0,0,0,0,64,0,760.1672368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
57020,6,2/16/2018 1:45,4399815,5,3,935,295,935,0,187,418.1447118,295,0,98.33333333,170.3183294,279.5572087,1.8182582680000001,628545,1618808.326,4299384,2,4399815,1099953.75,2133136.424,4299390,20,67686,33843,25699.08886,52015,15671,0,0,0,0,168,104,1.136411417,0.68184685,0,935,136.6666667,314.8710053,99143.75,0,0,0,0,1,0,0,0,0,153.75,187,98.33333333,0,0,0,0,0,0,5,935,3,295,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:47,10643,2,0,0,0,0,0,0,0,0,0,0,0,0,187.9169407,10643,0,10643,10643,10643,10643,0,10643,10643,0,0,0,0,0,0,0,0,0,64,0,187.9169407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
41556,6,2/16/2018 1:46,4470937,4,5,935,309,935,0,233.75,467.5,309,0,61.8,138.189001,278.2414514,2.013000854,558867.125,1547136.786,4387525,4,4460927,1486975.667,2512054.76,4387533,14460,83412,20853,26148.17495,58657,281,0,0,0,0,136,168,0.894667046,1.118333808,0,935,124.4,300.9157136,90550.26667,0,0,0,0,1,0,0,0,1,138.2222222,233.75,61.8,0,0,0,0,0,0,4,935,5,309,237,225,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
58054,6,2/16/2018 1:47,4497790,5,4,935,798,935,0,187,418.1447118,399,0,199.5,230.3627574,385.3003364,2.000982705,562223.75,1460857.308,4171525,6,4497790,1124447.5,2035818.192,4171533,16,297829,99276.33333,133225.5094,250895,931,0,0,0,0,168,136,1.111657058,0.889325647,0,935,173.3,314.8717728,99144.23333,0,0,0,0,1,0,0,0,0,192.5555556,187,199.5,0,0,0,0,0,0,5,935,4,798,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
50730,6,2/16/2018 1:46,4712732,5,4,935,688,935,0,187,418.1447118,344,0,172,198.6084926,344.3862286,1.9097203070000002,589091.5,1515490.865,4334804,7,4712732,1178183,2109818.714,4334811,46,338070,112690,107264.8802,214278,531,0,0,0,0,168,136,1.060955726,0.8487645810000001,0,935,162.3,306.8629987,94164.9,0,0,0,0,1,0,0,0,0,180.3333333,187,172,0,0,0,0,0,0,5,935,4,688,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
21,6,2/16/2018 10:32,3,1,1,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest,53:48.2,87.236.232.200
80,6,2/16/2018 1:45,3873,2,0,0,0,0,0,0,0,0,0,0,0,0,516.395559,3873,0,3873,3873,3873,3873,0,3873,3873,0,0,0,0,0,0,0,0,0,64,0,516.395559,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
80,6,2/16/2018 1:47,40210,2,0,0,0,0,0,0,0,0,0,0,0,0,49.73887093,40210,0,40210,40210,40210,40210,0,40210,40210,0,0,0,0,0,0,0,0,0,64,0,49.73887093,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
60598,6,2/16/2018 1:45,5262085,5,3,935,340,935,0,187,418.1447118,340,0,113.3333333,196.2990915,242.2993927,1.520309915,751726.4286,1933953.536,5137003,8,5262085,1315521.25,2547840.956,5137011,37,53405,26702.5,36729.24754,52674,731,0,0,0,0,168,104,0.950193697,0.570116218,0,935,141.6666667,318.0408779,101150,0,0,0,0,1,0,0,0,0,159.375,187,113.3333333,0,0,0,0,0,0,5,935,3,340,219,211,1,32,0,0,0,0,5137003,0,5137003,5137003,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:48,41319,2,0,0,0,0,0,0,0,0,0,0,0,0,48.40388199,41319,0,41319,41319,41319,41319,0,41319,41319,0,0,0,0,0,0,0,0,0,64,0,48.40388199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
58460,6,2/16/2018 1:47,4192142,5,3,935,352,935,0,187,418.1447118,352,0,117.3333333,203.2272948,307.0029593,1.908332304,598877.4286,1544940.143,4102248,8,4192142,1048035.5,2036258.567,4102256,27,41848,20924,1161.069335,21745,20103,0,0,0,0,168,104,1.19270769,0.715624614,0,935,143,319,101761,0,0,0,0,1,0,0,0,0,160.875,187,117.3333333,0,0,0,0,0,0,5,935,3,352,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
48782,6,2/16/2018 1:48,4253231,4,5,935,374,935,0,233.75,467.5,374,0,74.8,167.2578847,307.7660254,2.1160383720000002,531653.875,1466159.034,4159867,5,4250399,1416799.667,2375573.577,4159872,41333,93364,23341,25547.42819,49476,312,0,0,0,0,136,168,0.9404614990000001,1.175576873,0,935,130.9,306.0052469,93639.21111,0,0,0,0,1,0,0,0,1,145.4444444,233.75,74.8,0,0,0,0,0,0,4,935,5,374,219,225,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:47,10806,2,0,0,0,0,0,0,0,0,0,0,0,0,185.0823617,10806,0,10806,10806,10806,10806,0,10806,10806,0,0,0,0,0,0,0,0,0,64,0,185.0823617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
21,6,2/16/2018 10:32,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest,53:48.2,87.236.232.200
80,6,2/16/2018 1:46,7466,2,0,0,0,0,0,0,0,0,0,0,0,0,267.8810608,7466,0,7466,7466,7466,7466,0,7466,7466,0,0,0,0,0,0,0,0,0,64,0,267.8810608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
21,6,2/16/2018 10:23,3,1,1,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest,53:48.2,87.236.232.200
45552,6,2/16/2018 1:46,4256901,5,3,935,362,935,0,187,418.1447118,362,0,120.6666667,209.0007974,304.6817391,1.879301398,608128.7143,1592292.241,4218994,6,4256901,1064225.25,2103243.389,4219002,21,34824,17412,24190.12298,34517,307,0,0,0,0,168,104,1.174563374,0.7047380240000001,0,935,144.1111111,319.8352875,102294.6111,0,0,0,0,1,0,0,0,0,162.125,187,120.6666667,0,0,0,0,0,0,5,935,3,362,219,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
41616,6,2/16/2018 1:45,5480490,5,3,935,348,935,0,187,418.1447118,348,0,116,200.9178937,234.103155,1.459723492,782927.1429,2025455.475,5375579,6,5480490,1370122.5,2670635.872,5375588,24,93579,46789.5,65481.62347,93092,487,0,0,0,0,168,104,0.9123271820000001,0.547396309,0,935,142.5555556,318.6750348,101553.7778,0,0,0,0,1,0,0,0,0,160.375,187,116,0,0,0,0,0,0,5,935,3,348,237,211,1,32,0,0,0,0,5375579,0,5375579,5375579,Benign,53:48.2,87.236.232.200
